Surface,Round,Winner,Loser,WRank,LRank,WPts,LPts,Year
Grass,2nd Round,Riske A.,Giorgi C.,44,42,1171,1214,2014
Grass,3rd Round,Wozniacki C.,Konjuh A.,16,188,2700,320,2014
Grass,3rd Round,Zahlavova Strycova B.,Li N.,43,2,1181,7450,2014
Grass,3rd Round,Kvitova P.,Williams V.,6,30,4570,1596,2014
Clay,2nd Round,Petkovic A.,Pfizenmaier D.,20,125,2235,501,2014
Clay,2nd Round,Scheepers C.,Meusburger Y.,80,38,715,1325,2014
Clay,Quarterfinals,Errani S.,Scheepers C.,14,80,3125,715,2014
Clay,1st Round,Niculescu M.,Koukalova K.,68,32,845,1445,2014
Clay,1st Round,Cepelova J.,Peterson R.,71,251,794,212,2014
Clay,1st Round,Scheepers C.,Duque Marino M.,91,196,645,293,2014
Clay,2nd Round,Arruabarrena L.,Beck A.,108,64,573,896,2014
Clay,Quarterfinals,Soler Espinosa S.,Panova A.,84,137,684,449,2014
Clay,Semifinals,Scheepers C.,Cepelova J.,91,71,645,794,2014
Hard,1st Round,Peer S.,Kulichkova E.,97,207,625,273,2014
Hard,1st Round,Schiavone F.,Jaksic J.,75,123,740,503,2014
Hard,1st Round,Dulgheru A.,Kozlova K.,99,128,619,477,2014
Hard,1st Round,Vinci R.,Tatishvili A.,24,112,1780,558,2014
Hard,2nd Round,Pliskova Ka.,Peer S.,47,97,1100,625,2014
Hard,2nd Round,Eguchi M.,Radwanska U.,183,117,315,529,2014
Hard,2nd Round,Schiavone F.,Glushko J.,75,102,770,594,2014
Hard,2nd Round,Petkovic A.,Osaka N.,18,406,2460,90,2014
Hard,2nd Round,Ivanovic A.,Zhao C.,11,421,3660,83,2014
Hard,1st Round,Kuznetsova S.,Hercog P.,26,72,1646,806,2014
Hard,1st Round,King V.,Abanda F.,76,214,740,269,2014
Hard,1st Round,Erakovic M.,Pliskova Kr.,82,96,689,630,2014
Hard,1st Round,Davis L.,Peng S.,43,41,1140,1175,2014
Hard,1st Round,Williams V.,Pavlyuchenkova A.,26,24,1825,1895,2014
Hard,1st Round,Vesnina E.,Giorgi C.,49,38,1075,1282,2014
Hard,1st Round,Pliskova Ka.,Wickmayer Y.,41,65,1155,884,2014
Hard,3rd Round,Suarez Navarro C.,Sharapova M.,16,6,2695,4881,2014
Hard,1st Round,Zhang S.,Watson H.,31,46,1392,1085,2014
Hard,1st Round,Stosur S.,Lepchenko V.,22,49,1985,1047,2014
Hard,1st Round,Suarez Navarro C.,Pironkova T.,16,53,2785,996,2014
Hard,2nd Round,Williams S.,Stosur S.,1,22,9150,1985,2014
Hard,2nd Round,Stephens S.,Zahlavova Strycova B.,21,33,1985,1361,2014
Hard,2nd Round,Ivanovic A.,Mchale C.,11,45,3605,1088,2014
Hard,Semifinals,Ivanovic A.,Sharapova M.,11,6,3605,4986,2014
Hard,The Final,Williams S.,Ivanovic A.,1,11,9150,3605,2014
Hard,1st Round,Stosur S.,Nara K.,25,32,1920,1412,2014
Hard,2nd Round,Flipkens K.,Petkovic A.,47,19,1045,2400,2014
Hard,2nd Round,Stosur S.,Bouchard E.,25,8,1920,4368,2014
Hard,Quarterfinals,Giorgi C.,Muguruza G.,38,26,1282,1694,2014
Hard,1st Round,Peer S.,Konta J.,155,118,374,489,2014
Hard,1st Round,Lepchenko V.,Van Uytvanck A.,52,83,1007,672,2014
Hard,1st Round,Rogers S.,Zanevska M.,86,130,656,437,2014
Hard,1st Round,Azarenka V.,Doi M.,17,90,2783,643,2014
Hard,1st Round,Bellis C.,Cibulkova D.,1208,13,4,3002,2014
Hard,1st Round,King V.,Schiavone F.,81,77,700,745,2014
Hard,2nd Round,Wozniacki C.,Sasnovich A.,11,120,3165,482,2014
Hard,2nd Round,Diyas Z.,Bellis C.,48,1208,1087,4,2014
Hard,3rd Round,Safarova L.,Cornet A.,15,23,2825,1930,2014
Hard,4th Round,Makarova E.,Bouchard E.,18,8,2565,4405,2014
Hard,4th Round,Azarenka V.,Krunic A.,17,145,2783,409,2014
Hard,1st Round,Hantuchova D.,Zhang L.,57,219,926,239,2014
Hard,2nd Round,Van Uytvanck A.,Hantuchova D.,91,57,632,926,2014
Hard,Quarterfinals,Lisicki S.,Zheng S.,31,102,1546,542,2014
Hard,1st Round,Kudryavtseva A.,Zanevska M.,103,128,536,459,2014
Hard,1st Round,Knapp K.,Buyukakcay C.,89,144,635,401,2014
Hard,1st Round,Tsurenko L.,Krunic A.,124,100,474,561,2014
Hard,2nd Round,Jovanovski B.,Kudryavtseva A.,35,103,1290,536,2014
Hard,2nd Round,Govortsova O.,Doi M.,114,87,496,648,2014
Hard,Quarterfinals,Cornet A.,Hsieh S.W.,22,171,1900,321,2014
Hard,1st Round,Kovinic D.,Schmiedlova A.,113,76,506,747,2014
Hard,2nd Round,Rybarikova M.,Wickmayer Y.,41,64,1145,867,2014
Hard,2nd Round,Kanepi K.,Pliskova Kr.,45,97,1110,594,2014
Hard,1st Round,Safarova L.,Keys M.,15,29,2715,1670,2014
Hard,1st Round,Cibulkova D.,Flipkens K.,13,47,3007,1095,2014
Hard,1st Round,Gavrilova D.,Davis L.,365,86,98,665,2014
Hard,1st Round,Dellacqua C.,Lisicki S.,30,24,1621,1825,2014
Hard,1st Round,Knapp K.,Erakovic M.,62,90,885,625,2014
Hard,1st Round,Jankovic J.,Mchale C.,11,51,3655,1025,2014
Hard,2nd Round,Garcia C.,Radwanska A.,49,6,1074,5200,2014
Hard,2nd Round,Dellacqua C.,Pavlyuchenkova A.,27,30,1720,1630,2014
Hard,1st Round,Keys M.,Riske A.,32,60,1605,926,2014
Hard,1st Round,Suarez Navarro C.,Flipkens K.,18,43,2420,1130,2014
Hard,1st Round,Safarova L.,Giorgi C.,15,42,2590,1135,2014
Hard,3rd Round,Stosur S.,Cornet A.,21,20,2045,2140,2014
Hard,Quarterfinals,Kvitova P.,Vinci R.,3,44,5926,1122,2014
Hard,1st Round,Barthel M.,Bertens K.,47,74,1103,700,2014
Hard,1st Round,Knapp K.,Lisicki S.,59,25,945,1835,2014
Hard,1st Round,Aoyama S.,Voracova R.,257,188,175,285,2014
Hard,1st Round,Cirstea S.,Linette M.,101,146,547,389,2014
Hard,1st Round,Oprandi R.,Wu H.C.,132,687,443,28,2014
Hard,1st Round,Tomljanovic A.,Kichenok N.,69,181,795,295,2014
Hard,2nd Round,Hsieh S.W.,Zhang S.,160,54,348,985,2014
Hard,1st Round,Zahlavova Strycova B.,Soler Espinosa S.,31,70,1600,795,2014
Hard,1st Round,Cornet A.,Hradecka L.,21,156,2255,375,2014
Hard,2nd Round,Beck A.,Vinci R.,60,41,946,1197,2014
Hard,2nd Round,Mayr P.,Parmentier P.,115,78,491,692,2014
Hard,1st Round,Diatchenko V.,Govortsova O.,140,150,413,386,2014
Hard,1st Round,Pavlyuchenkova A.,Konjuh A.,30,100,1640,544,2014
Hard,1st Round,Mladenovic K.,Pliskova Ka.,87,27,650,1830,2014
Hard,Quarterfinals,Safarova L.,Kuznetsova S.,17,26,2460,1830,2014
Hard,The Final,Pavlyuchenkova A.,Begu I.,30,61,1640,918,2014
Hard,Round Robin,Petkovic A.,Cibulkova D.,17,12,2495,2908,2014
Hard,1st Round,Konjuh A.,Barthel M.,99,41,579,1193,2015
Hard,1st Round,Erakovic M.,Puig M.,76,59,694,880,2015
Hard,2nd Round,Radwanska U.,Hantuchova D.,179,62,291,841,2015
Hard,Quarterfinals,Zahlavova Strycova B.,Vandeweghe C.,26,38,1720,1236,2015
Hard,Quarterfinals,Williams V.,Vesnina E.,19,64,2091,816,2015
Hard,1st Round,Lucic M.,Mchale C.,60,51,867,1015,2015
Hard,2nd Round,Svitolina E.,Tomljanovic A.,28,63,1655,840,2015
Hard,2nd Round,Kudryavtseva A.,Pliskova Ka.,100,23,576,1830,2015
Hard,Semifinals,Ivanovic A.,Lepchenko V.,7,34,4640,1350,2015
Hard,1st Round,Zvonareva V.,Peng S.,250,22,180,1855,2015
Hard,2nd Round,Zvonareva V.,Buyukakcay C.,250,136,180,401,2015
Hard,2nd Round,Vinci R.,Beck A.,44,114,1107,493,2015
Hard,Quarterfinals,Riske A.,Diyas Z.,43,32,1175,1371,2015
Hard,2nd Round,Pironkova T.,Keys M.,37,30,1276,1520,2015
Hard,Quarterfinals,Pironkova T.,Zahlavova Strycova B.,37,26,1276,1720,2015
Hard,The Final,Kvitova P.,Pliskova Ka.,4,23,5966,1830,2015
Hard,1st Round,Errani S.,Min G.,14,105,2735,553,2015
Hard,1st Round,Soler Espinosa S.,Beck A.,69,55,788,920,2015
Hard,1st Round,Bouchard E.,Friedsam A.L.,7,98,4715,601,2015
Hard,1st Round,Dellacqua C.,Meusburger Y.,29,93,1542,616,2015
Hard,1st Round,Larsson J.,Kudryavtseva A.,70,84,762,674,2015
Hard,4th Round,Williams S.,Muguruza G.,1,24,8016,1845,2015
Hard,4th Round,Williams V.,Radwanska A.,18,6,2370,4810,2015
Hard,1st Round,De Vroome I.,Pironkova T.,247,50,179,991,2015
Hard,2nd Round,Pliskova Ka.,Beck A.,22,63,2015,860,2015
Hard,2nd Round,Duan Y.Y.,Zhu L.,130,127,434,436,2015
Hard,1st Round,Lisicki S.,Niculescu M.,28,61,1592,853,2015
Hard,2nd Round,Radwanska A.,Garcia C.,8,30,3975,1461,2015
Hard,2nd Round,Makarova E.,Kozlova K.,9,132,3285,428,2015
Hard,3rd Round,Halep S.,Pironkova T.,4,57,5672,902,2015
Hard,Semifinals,Pliskova Ka.,Muguruza G.,18,24,2140,1845,2015
Clay,1st Round,Haddad Maia B.,Irigoyen M.,234,202,194,249,2015
Clay,1st Round,Pfizenmaier D.,Cabeza-Candela E.,142,329,385,103,2015
Clay,1st Round,Puig M.,Smitkova T.,51,61,970,863,2015
Clay,1st Round,Duque Marino M.,Chirico L.,139,149,401,373,2015
Hard,Quarterfinals,Azarenka V.,Wozniacki C.,48,5,998,4730,2015
Hard,Quarterfinals,Suarez Navarro C.,Kvitova P.,14,4,2585,6395,2015
Hard,Quarterfinals,Hsieh S.W.,Kulichkova E.,181,171,283,306,2015
Hard,1st Round,Rybarikova M.,Jaksic J.,47,144,1046,386,2015
Hard,1st Round,Errani S.,Davis L.,12,54,2670,920,2015
Hard,2nd Round,Errani S.,Babos T.,12,90,2670,633,2015
Hard,Quarterfinals,Ivanovic A.,Mladenovic K.,6,64,4425,815,2015
Hard,1st Round,Watson H.,Goerges J.,43,62,1134,850,2015
Hard,1st Round,Barthel M.,Mladenovic K.,41,63,1203,850,2015
Hard,1st Round,Putintseva Y.,Smitkova T.,107,58,536,863,2015
Hard,1st Round,Zhu L.,Schiavone F.,119,70,475,787,2015
Hard,2nd Round,Pliskova Ka.,Arruabarrena L.,15,92,2620,634,2015
Hard,2nd Round,Lepchenko V.,Vickery S.,31,152,1540,373,2015
Hard,2nd Round,Williams S.,Niculescu M.,1,68,9592,794,2015
Hard,2nd Round,Bencic B.,Jovanovski B.,37,65,1326,821,2015
Hard,2nd Round,Sharapova M.,Wickmayer Y.,2,93,8215,631,2015
Hard,3rd Round,Svitolina E.,Safarova L.,29,11,1740,2995,2015
Hard,3rd Round,Watson H.,Radwanska A.,43,8,1134,4065,2015
Hard,3rd Round,Pliskova Ka.,Muguruza G.,15,22,2620,2015,2015
Hard,1st Round,Larsson J.,Shvedova Y.,52,74,961,760,2015
Hard,1st Round,Jovanovski B.,Barthel M.,65,39,821,1228,2015
Hard,2nd Round,Begu I.,Smitkova T.,35,60,1383,864,2015
Hard,2nd Round,Pliskova Ka.,Beck A.,14,81,2675,700,2015
Hard,2nd Round,Cornet A.,Vesnina E.,24,62,1870,831,2015
Hard,2nd Round,Lisicki S.,Goerges J.,21,63,2031,825,2015
Hard,4th Round,Williams S.,Kuznetsova S.,1,29,9982,1760,2015
Clay,1st Round,Barthel M.,Babos T.,39,87,1228,663,2015
Clay,2nd Round,Sorribes Tormo S.,Rogers S.,195,80,255,688,2015
Clay,3rd Round,Kovinic D.,Jankovic J.,121,17,469,2420,2015
Clay,1st Round,Van Uytvanck A.,Rybarikova M.,105,49,573,991,2015
Clay,2nd Round,Radwanska A.,Mestach A.S.,9,112,3385,527,2015
Clay,1st Round,Duque Marino M.,Babos T.,134,87,414,663,2015
Clay,2nd Round,Svitolina E.,Kovinic D.,27,109,1770,564,2015
Clay,2nd Round,Puig M.,Gibbs N.,51,100,970,605,2015
Clay,Semifinals,Pereira T.,Svitolina E.,130,27,426,1770,2015
Clay,1st Round,Errani S.,Radwanska A.,15,9,2805,3385,2015
Clay,1st Round,Puig M.,Van Uytvanck A.,47,91,1010,653,2015
Clay,2nd Round,Arruabarrena L.,Puig M.,97,47,610,1010,2015
Clay,Quarterfinals,Svitolina E.,Knapp K.,25,53,1820,925,2015
Clay,1st Round,Zhang S.,Kuznetsova S.,98,27,597,1771,2015
Clay,1st Round,Pliskova Ka.,Beck A.,14,80,2875,713,2015
Clay,1st Round,Suarez Navarro C.,Diyas Z.,12,32,3155,1420,2015
Clay,1st Round,Garcia C.,Lucic M.,28,65,1605,820,2015
Clay,2nd Round,Safarova L.,Pironkova T.,14,52,2895,952,2015
Clay,2nd Round,Suarez Navarro C.,Goerges J.,12,68,3155,805,2015
Clay,3rd Round,Sharapova M.,Garcia C.,3,28,7525,1605,2015
Clay,1st Round,Pavlyuchenkova A.,Stosur S.,39,27,1202,1835,2015
Clay,1st Round,Keys M.,Brengle M.,17,36,2325,1304,2015
Clay,1st Round,Bacsinszky T.,Pliskova Ka.,24,12,1878,3085,2015
Clay,1st Round,Errani S.,Hantuchova D.,15,55,2665,915,2015
Clay,1st Round,Svitolina E.,Pennetta F.,19,26,2095,1835,2015
Clay,2nd Round,Begu I.,Kerber A.,31,11,1432,3230,2015
Clay,3rd Round,Sharapova M.,Jovanovski B.,3,73,6915,772,2015
Clay,3rd Round,Mchale C.,Williams S.,65,1,860,10156,2015
Clay,1st Round,Zhang S.,Jovanovski B.,126,60,428,906,2015
Clay,1st Round,Nara K.,Hercog P.,56,76,930,750,2015
Clay,1st Round,Koukalova K.,Beck A.,78,81,725,716,2015
Clay,1st Round,Arruabarrena L.,Babos T.,98,83,614,693,2015
Clay,2nd Round,Doi M.,Zhang S.,112,126,513,428,2015
Clay,2nd Round,Witthoeft C.,Rodina E.,61,91,904,654,2015
Clay,The Final,Knapp K.,Vinci R.,48,42,1005,1112,2015
Clay,1st Round,Vesnina E.,Dabrowski G.,95,182,629,282,2015
Clay,2nd Round,Keys M.,Lucic M.,16,70,2325,837,2015
Clay,2nd Round,Vesnina E.,Cornet A.,95,29,629,1700,2015
Clay,Quarterfinals,Mladenovic K.,Keys M.,54,16,990,2325,2015
Clay,1st Round,Doi M.,Cetkovska P.,103,147,576,365,2015
Clay,1st Round,Ivanovic A.,Shvedova Y.,7,69,3655,826,2015
Clay,1st Round,Vesnina E.,Flipkens K.,82,71,688,815,2015
Clay,1st Round,Konjuh A.,Gasparyan M.,94,116,643,476,2015
Clay,1st Round,Errani S.,Riske A.,17,47,2140,1105,2015
Clay,1st Round,Allertova D.,Konta J.,88,143,663,376,2015
Clay,1st Round,Bacsinszky T.,Arruabarrena L.,24,79,1958,723,2015
Clay,1st Round,Keys M.,Lepchenko V.,16,34,2275,1345,2015
Clay,1st Round,Falconi I.,Arcangioli M.,85,276,685,155,2015
Clay,1st Round,Bencic B.,Hantuchova D.,35,59,1320,915,2015
Clay,2nd Round,Muguruza G.,Giorgi C.,20,37,2075,1300,2015
Clay,2nd Round,Suarez Navarro C.,Razzano V.,8,182,3645,283,2015
Clay,2nd Round,Schiavone F.,Kuznetsova S.,92,18,652,2118,2015
Clay,2nd Round,Keys M.,Bencic B.,16,35,2275,1320,2015
Clay,2nd Round,Stephens S.,Watson H.,40,45,1250,1109,2015
Grass,1st Round,Jankovic J.,Smitkova T.,30,62,1630,904,2015
Grass,2nd Round,Mladenovic K.,Nara K.,43,57,1140,960,2015
Grass,1st Round,Davis L.,Tomljanovic A.,63,79,880,755,2015
Grass,1st Round,Jovanovski B.,Gibbs N.,54,100,966,617,2015
Grass,1st Round,Puig M.,Hradecka L.,89,55,680,964,2015
Grass,Quarterfinals,Niculescu M.,Konta J.,61,147,905,353,2015
Grass,1st Round,Doi M.,Puig M.,96,89,636,680,2015
Grass,1st Round,Babos T.,Vinci R.,91,36,673,1291,2015
Grass,Semifinals,Pliskova Ka.,Mladenovic K.,12,43,3010,1140,2015
Grass,2nd Round,Cibulkova D.,Safarova L.,49,6,1033,4055,2015
Grass,2nd Round,Kuznetsova S.,Pennetta F.,27,24,1812,1847,2015
Grass,3rd Round,Bencic B.,Bouchard E.,31,12,1535,3118,2015
Grass,3rd Round,Pironkova T.,Cibulkova D.,44,49,1096,1033,2015
Grass,3rd Round,Stephens S.,Watson H.,43,64,1097,885,2015
Grass,Semifinals,Radwanska A.,Stephens S.,13,43,2815,1097,2015
Grass,1st Round,Pliskova Ka.,Falconi I.,11,69,3210,827,2015
Grass,1st Round,Petkovic A.,Rogers S.,14,84,2705,734,2015
Grass,1st Round,Muguruza G.,Lepchenko V.,20,40,2075,1219,2015
Grass,1st Round,Cornet A.,Konjuh A.,27,55,1845,968,2015
Grass,2nd Round,Kerber A.,Pavlyuchenkova A.,10,42,3285,1176,2015
Grass,2nd Round,Wozniacki C.,Allertova D.,5,83,5000,735,2015
Grass,2nd Round,Jankovic J.,Rodina E.,30,101,1685,619,2015
