Surface,Round,Winner,Loser,WRank,LRank,WPts,LPts,Year,Fit
Hard,Quarterfinals,Cabeza-Candela E.,Niculescu M.,114,60,578,965,2014,1
Hard,Quarterfinals,Muguruza G.,Flipkens K.,58,19,992,2535,2014,1
Hard,Semifinals,Zakopalova K.,Stosur S.,37,17,1365,2675,2014,1
Hard,Semifinals,Muguruza G.,Cabeza-Candela E.,58,114,992,578,2014,1
Hard,The Final,Muguruza G.,Zakopalova K.,58,37,992,1365,2014,1
Hard,1st Round,Keys M.,Halep S.,36,11,1380,3335,2014,1
Hard,1st Round,Errani S.,Vinci R.,7,12,4435,3170,2014,1
Hard,1st Round,Tomljanovic A.,Hantuchova D.,75,32,830,1475,2014,1
Hard,1st Round,Safarova L.,Schiavone F.,27,41,1775,1250,2014,1
Hard,1st Round,Mattek-Sands B.,Bouchard E.,48,31,1133,1629,2014,1
Hard,1st Round,Pironkova T.,Cirstea S.,107,22,611,2170,2014,1
Hard,1st Round,Kerber A.,Cibulkova D.,9,21,3965,2175,2014,1
Hard,1st Round,Lepchenko V.,Kuznetsova S.,52,20,1087,2341,2014,1
Hard,1st Round,Kanepi K.,Duval V.,25,165,1868,389,2014,1
Hard,1st Round,Suarez Navarro C.,Ormaechea P.,16,62,2735,954,2014,1
Hard,1st Round,Makarova E.,Jankovic J.,23,8,2066,4230,2014,1
Hard,1st Round,Mchale C.,Cornet A.,65,26,882,1840,2014,1
Hard,1st Round,Wozniacki C.,Goerges J.,10,73,3520,836,2014,1
Hard,2nd Round,Kerber A.,Kanepi K.,9,25,3965,1868,2014,1
Hard,2nd Round,Mattek-Sands B.,Radwanska A.,48,5,1133,5820,2014,1
Hard,2nd Round,Keys M.,Tomljanovic A.,36,75,1380,830,2014,1
Hard,2nd Round,Kvitova P.,Mchale C.,6,65,4775,882,2014,1
Hard,2nd Round,Suarez Navarro C.,Makarova E.,16,23,2735,2066,2014,1
Hard,2nd Round,Pironkova T.,Lepchenko V.,107,52,611,1087,2014,1
Hard,2nd Round,Safarova L.,Wozniacki C.,27,10,1775,3520,2014,1
Hard,2nd Round,Errani S.,Davis L.,7,67,4435,871,2014,1
Hard,Quarterfinals,Kvitova P.,Safarova L.,6,27,4775,1775,2014,1
Hard,Quarterfinals,Pironkova T.,Errani S.,107,7,611,4435,2014,1
Hard,Quarterfinals,Keys M.,Mattek-Sands B.,36,48,1380,1133,2014,1
Hard,Quarterfinals,Kerber A.,Suarez Navarro C.,9,16,3965,2735,2014,1
Hard,Semifinals,Pironkova T.,Kvitova P.,107,6,611,4775,2014,1
Hard,Semifinals,Kerber A.,Keys M.,9,36,3965,1380,2014,1
Hard,The Final,Pironkova T.,Kerber A.,107,9,611,3965,2014,1
Hard,1st Round,Bencic B.,Date Krumm K.,187,80,339,772,2014,1
Hard,1st Round,Kudryavtseva A.,Garcia C.,162,76,399,806,2014,1
Hard,1st Round,Kerber A.,Gajdosova J.,9,329,4070,141,2014,1
Hard,1st Round,Pliskova Ka.,Parmentier P.,70,238,849,255,2014,1
Hard,1st Round,Makarova E.,Williams V.,22,37,2061,1327,2014,1
Hard,1st Round,Falconi I.,Medina Garrigues A.,142,101,446,665,2014,1
Hard,1st Round,Puig M.,Tatishvili A.,58,126,995,499,2014,1
Hard,1st Round,Flipkens K.,Robson L.,19,48,2465,1183,2014,1
Hard,1st Round,Li N.,Konjuh A.,4,241,5970,255,2014,1
Hard,1st Round,Razzano V.,Van Uytvanck A.,100,110,666,608,2014,1
Hard,1st Round,Pennetta F.,Cadantu A.,29,60,1735,967,2014,1
Hard,1st Round,Hradecka L.,Vekic D.,146,94,431,696,2014,1
Hard,1st Round,Bouchard E.,Tang H.C.,31,487,1629,72,2014,1
Hard,1st Round,Keys M.,Mayr P.,36,85,1425,764,2014,1
Hard,1st Round,Beck A.,Martic P.,54,109,1086,608,2014,1
Hard,1st Round,Stosur S.,Zakopalova K.,17,32,2675,1515,2014,1
Hard,1st Round,Barthel M.,Zhang S.,39,51,1275,1135,2014,1
Hard,1st Round,Dolonc V.,Arruabarrena-Vecino L.,104,102,627,635,2014,1
Hard,1st Round,Zheng J.,Vinci R.,56,12,1073,3170,2014,1
Hard,1st Round,Niculescu M.,Peer S.,64,75,955,818,2014,1
Hard,1st Round,Riske A.,Vesnina E.,53,28,1110,1745,2014,1
Hard,1st Round,Wickmayer Y.,Pfizenmaier D.,63,92,957,698,2014,1
Hard,1st Round,Pironkova T.,Soler Espinosa S.,57,78,1036,787,2014,1
Hard,1st Round,Davis L.,Vickery S.,68,190,865,331,2014,1
Hard,1st Round,Williams S.,Barty A.,1,155,13260,412,2014,1
Hard,1st Round,Cornet A.,Hercog P.,25,66,1840,902,2014,1
Hard,1st Round,Wozniacki C.,Dominguez Lino L.,10,72,3520,842,2014,1
Hard,1st Round,Zahlavova Strycova B.,Hsieh S.W.,84,86,764,738,2014,1
Hard,1st Round,Mchale C.,Chan Y.J.,62,232,961,258,2014,1
Hard,1st Round,Halep S.,Piter K.,11,119,3335,551,2014,1
Hard,1st Round,Suarez Navarro C.,King V.,16,71,2775,842,2014,1
Hard,1st Round,Voskoboeva G.,Begu I.,77,127,798,498,2014,1
Hard,1st Round,Cibulkova D.,Schiavone F.,24,42,1856,1250,2014,1
Hard,1st Round,Giorgi C.,Sanders S.,99,219,670,280,2014,1
Hard,1st Round,Diyas Z.,Siniakova K.,152,173,414,370,2014,1
Hard,1st Round,Voegele S.,Mladenovic K.,46,55,1190,1075,2014,1
Hard,1st Round,Lepchenko V.,Tsurenko L.,50,96,1141,685,2014,1
Hard,1st Round,Nara K.,Peng S.,74,43,832,1249,2014,1
Hard,1st Round,Pavlyuchenkova A.,Pereira T.,30,97,1715,682,2014,1
Hard,1st Round,Minella M.,Witthoeft C.,107,207,621,296,2014,1
Hard,1st Round,Jankovic J.,Doi M.,8,89,4230,724,2014,1
Hard,1st Round,Radwanska A.,Putintseva Y.,5,112,5470,600,2014,1
Hard,1st Round,Govortsova O.,Duan Y.Y.,98,193,681,326,2014,1
Hard,1st Round,Muguruza G.,Kanepi K.,38,23,1280,1922,2014,1
Hard,1st Round,Schmiedlova A.,Babos T.,81,87,768,735,2014,1
Hard,1st Round,Rogowska O.,Duque Marino M.,169,105,381,626,2014,1
Hard,1st Round,Morita A.,Kichenok N.,61,106,962,623,2014,1
Hard,1st Round,Tomljanovic A.,Majeric T.,67,117,871,554,2014,1
Hard,1st Round,Erakovic M.,Cirstea S.,52,21,1121,2170,2014,1
Hard,1st Round,Knapp K.,Ormaechea P.,44,59,1230,978,2014,1
Hard,1st Round,Rybarikova M.,Petkovic A.,35,40,1450,1271,2014,1
Hard,1st Round,Stephens S.,Shvedova Y.,13,82,3075,766,2014,1
Hard,1st Round,Jovanovski B.,Cepelova J.,34,69,1475,849,2014,1
Hard,1st Round,Svitolina E.,Kuznetsova S.,47,20,1185,2202,2014,1
Hard,1st Round,Meusburger Y.,Scheepers C.,49,79,1158,780,2014,1
Hard,1st Round,Sharapova M.,Mattek-Sands B.,3,41,6076,1257,2014,1
Hard,2nd Round,Barthel M.,Kumkhum L.,39,88,1275,732,2014,1
Hard,2nd Round,Li N.,Bencic B.,4,187,5970,339,2014,1
Hard,2nd Round,Makarova E.,Falconi I.,22,142,2061,446,2014,1
Hard,2nd Round,Niculescu M.,Lisicki S.,64,15,955,2915,2014,1
Hard,2nd Round,Williams S.,Dolonc V.,1,104,13260,627,2014,1
Hard,2nd Round,Pennetta F.,Puig M.,29,58,1735,995,2014,1
Hard,2nd Round,Hantuchova D.,Pliskova Ka.,33,70,1475,849,2014,1
Hard,2nd Round,Kerber A.,Kudryavtseva A.,9,162,4070,399,2014,1
Hard,2nd Round,Dellacqua C.,Flipkens K.,120,19,532,2465,2014,1
Hard,2nd Round,Riske A.,Wickmayer Y.,53,63,1110,957,2014,1
Hard,2nd Round,Zheng J.,Keys M.,56,36,1073,1425,2014,1
Hard,2nd Round,Stosur S.,Pironkova T.,17,57,2675,1036,2014,1
Hard,2nd Round,Ivanovic A.,Beck A.,14,54,3010,1086,2014,1
Hard,2nd Round,Sharapova M.,Knapp K.,3,44,6076,1230,2014,1
Hard,2nd Round,Cornet A.,Giorgi C.,25,99,1840,670,2014,1
Hard,2nd Round,Pavlyuchenkova A.,Minella M.,30,107,1715,621,2014,1
Hard,2nd Round,Svitolina E.,Rogowska O.,47,169,1185,381,2014,1
Hard,2nd Round,Suarez Navarro C.,Voskoboeva G.,16,77,2775,798,2014,1
Hard,2nd Round,Halep S.,Lepchenko V.,11,50,3335,1141,2014,1
Hard,2nd Round,Cibulkova D.,Voegele S.,24,46,1856,1190,2014,1
Hard,2nd Round,Muguruza G.,Schmiedlova A.,38,81,1280,768,2014,1
Hard,2nd Round,Wozniacki C.,Mchale C.,10,62,3520,961,2014,1
Hard,2nd Round,Stephens S.,Tomljanovic A.,13,67,3075,871,2014,1
Hard,2nd Round,Azarenka V.,Zahlavova Strycova B.,2,84,8151,764,2014,1
Hard,2nd Round,Jankovic J.,Morita A.,8,61,4230,962,2014,1
Hard,2nd Round,Nara K.,Rybarikova M.,74,35,832,1450,2014,1
Hard,2nd Round,Meusburger Y.,Jovanovski B.,49,34,1158,1475,2014,1
Hard,3rd Round,Kerber A.,Riske A.,9,53,4070,1110,2014,1
Hard,3rd Round,Pennetta F.,Barthel M.,29,39,1735,1275,2014,1
Hard,3rd Round,Williams S.,Hantuchova D.,1,33,13260,1475,2014,1
Hard,3rd Round,Li N.,Safarova L.,4,26,5970,1775,2014,1
Hard,3rd Round,Bouchard E.,Davis L.,31,68,1629,865,2014,1
Hard,3rd Round,Dellacqua C.,Zheng J.,120,56,532,1073,2014,1
Hard,3rd Round,Sharapova M.,Cornet A.,3,25,6076,1840,2014,1
Hard,3rd Round,Halep S.,Diyas Z.,11,152,3335,414,2014,1
Hard,3rd Round,Jankovic J.,Nara K.,8,74,4230,832,2014,1
Hard,3rd Round,Cibulkova D.,Suarez Navarro C.,24,16,1856,2775,2014,1
Hard,3rd Round,Stephens S.,Svitolina E.,13,47,3075,1185,2014,1
Hard,3rd Round,Radwanska A.,Pavlyuchenkova A.,5,30,5470,1715,2014,1
Hard,3rd Round,Muguruza G.,Wozniacki C.,38,10,1280,3520,2014,1
Hard,3rd Round,Azarenka V.,Meusburger Y.,2,49,8151,1158,2014,1
Hard,4th Round,Li N.,Makarova E.,4,22,5970,2061,2014,1
Hard,4th Round,Ivanovic A.,Williams S.,14,1,3010,13260,2014,1
Hard,4th Round,Bouchard E.,Dellacqua C.,31,120,1629,532,2014,1
Hard,4th Round,Cibulkova D.,Sharapova M.,24,3,1856,6076,2014,1
Hard,4th Round,Halep S.,Jankovic J.,11,8,3335,4230,2014,1
Hard,4th Round,Azarenka V.,Stephens S.,2,13,8151,3075,2014,1
Hard,4th Round,Radwanska A.,Muguruza G.,5,38,5470,1280,2014,1
Hard,Quarterfinals,Li N.,Pennetta F.,4,29,5970,1735,2014,1
Hard,Quarterfinals,Bouchard E.,Ivanovic A.,31,14,1629,3010,2014,1
Hard,Quarterfinals,Cibulkova D.,Halep S.,24,11,1856,3335,2014,1
Hard,Quarterfinals,Radwanska A.,Azarenka V.,5,2,5470,8151,2014,1
Hard,Semifinals,Li N.,Bouchard E.,4,31,5970,1629,2014,1
Hard,Semifinals,Cibulkova D.,Radwanska A.,24,5,1856,5470,2014,1
Hard,1st Round,Zakopalova K.,Garcia C.,34,76,1425,811,2014,1
Hard,1st Round,Pavlyuchenkova A.,Schiavone F.,26,43,1840,1255,2014,1
Hard,1st Round,Hantuchova D.,Erakovic M.,31,48,1600,1186,2014,1
Hard,1st Round,Meusburger Y.,Friedsam A.L.,40,115,1270,560,2014,1
Hard,1st Round,Cornet A.,Rybarikova M.,25,32,1870,1515,2014,1
Hard,1st Round,Knapp K.,Arruabarrena L.,45,99,1240,640,2014,1
Hard,1st Round,Petkovic A.,Jovanovski B.,39,41,1280,1265,2014,1
Hard,1st Round,Suarez Navarro C.,Larsson J.,16,87,2745,711,2014,1
Hard,1st Round,Svitolina E.,Vinci R.,38,14,1310,3020,2014,1
Hard,1st Round,Voskoboeva G.,Voegele S.,71,44,863,1255,2014,1
Hard,1st Round,Mladenovic K.,Halep S.,62,10,985,3760,2014,1
Hard,2nd Round,Sharapova M.,Hantuchova D.,5,31,5416,1600,2014,1
Hard,2nd Round,Pavlyuchenkova A.,Suarez Navarro C.,26,16,1840,2745,2014,1
Hard,2nd Round,Kerber A.,Zakopalova K.,9,34,4030,1425,2014,1
Hard,2nd Round,Svitolina E.,Voskoboeva G.,38,71,1310,863,2014,1
Hard,2nd Round,Flipkens K.,Meusburger Y.,21,40,2255,1270,2014,1
Hard,2nd Round,Petkovic A.,Mladenovic K.,39,62,1280,985,2014,1
Hard,2nd Round,Errani S.,Knapp K.,7,45,4440,1240,2014,1
Hard,2nd Round,Cornet A.,Zahlavova Strycova B.,25,74,1870,834,2014,1
Hard,Quarterfinals,Pavlyuchenkova A.,Kerber A.,26,9,1840,4030,2014,1
Hard,Quarterfinals,Sharapova M.,Flipkens K.,5,21,5416,2255,2014,1
Hard,Quarterfinals,Errani S.,Svitolina E.,7,38,4440,1310,2014,1
Hard,Semifinals,Pavlyuchenkova A.,Sharapova M.,26,5,1840,5416,2014,1
Hard,Semifinals,Errani S.,Cornet A.,7,25,4440,1870,2014,1
Hard,The Final,Pavlyuchenkova A.,Errani S.,26,7,1840,4440,2014,1
Hard,1st Round,Peng S.,Mayr P.,50,81,1159,760,2014,1
Hard,1st Round,Lisicki S.,Vekic D.,15,109,2980,606,2014,1
Hard,1st Round,Riske A.,Medina Garrigues A.,47,93,1190,670,2014,1
Hard,1st Round,Hlavackova A.,Cabeza-Candela E.,126,95,487,656,2014,1
Hard,1st Round,Kuznetsova S.,Zhang S.,29,51,1712,1121,2014,1
Hard,1st Round,Pliskova Ka.,Mattek-Sands B.,66,42,914,1265,2014,1
Hard,1st Round,Lertpitaksinchai N.,Krunic A.,347,153,123,422,2014,1
Hard,1st Round,Dulgheru A.,Putintseva Y.,157,122,412,510,2014,1
Hard,1st Round,Vesnina E.,King V.,33,72,1475,847,2014,1
Hard,1st Round,Zvonareva V.,Plipuech P.,992,66,11,914,2014,1
Hard,1st Round,Makarova E.,Savchuk O.,28,180,1801,335,2014,1
Hard,1st Round,Kudryavtseva A.,Tomljanovic A.,123,68,503,906,2014,1
Hard,1st Round,Date Krumm K.,Muguruza G.,60,35,990,1420,2014,1
Hard,1st Round,Cirstea S.,Schmiedlova A.,23,75,2020,822,2014,1
Hard,1st Round,Majeric T.,Hsieh S.W.,125,97,490,648,2014,1
Hard,2nd Round,Goerges J.,Kuznetsova S.,102,29,626,1712,2014,1
Hard,2nd Round,Hlavackova A.,Lisicki S.,126,15,487,2980,2014,1
Hard,2nd Round,Pliskova Ka.,Kudryavtseva A.,66,123,914,503,2014,1
Hard,2nd Round,Cirstea S.,Riske A.,23,47,2020,1190,2014,1
Hard,2nd Round,Date Krumm K.,Majeric T.,60,125,990,490,2014,1
Hard,2nd Round,Vesnina E.,Lertpitaksinchai N.,33,347,1475,123,2014,1
Hard,2nd Round,Peng S.,Dulgheru A.,50,157,1159,412,2014,1
Hard,Quarterfinals,Pliskova Ka.,Cirstea S.,66,23,914,2020,2014,1
Hard,Quarterfinals,Hlavackova A.,Peng S.,126,50,487,1159,2014,1
Hard,Quarterfinals,Goerges J.,Vesnina E.,102,33,626,1475,2014,1
Hard,Quarterfinals,Makarova E.,Date Krumm K.,28,60,1801,990,2014,1
Hard,Semifinals,Pliskova Ka.,Goerges J.,66,102,914,626,2014,1
Hard,Semifinals,Makarova E.,Hlavackova A.,28,126,1801,487,2014,1
Hard,The Final,Makarova E.,Pliskova Ka.,28,66,1801,914,2014,1
Hard,1st Round,Beck A.,Barthel M.,197,63,255,931,2014,1
Hard,1st Round,Peng S.,Petrova N.,44,100,1218,635,2014,1
Hard,1st Round,Hsieh S.W.,Pennetta F.,99,22,648,2165,2014,1
Hard,1st Round,Williams V.,Martic P.,48,104,1177,613,2014,1
Hard,1st Round,Pironkova T.,Vinci R.,52,14,1101,3020,2014,1
Hard,1st Round,Cetkovska P.,Stephens S.,134,18,469,2415,2014,1
Hard,1st Round,Kanepi K.,Lepchenko V.,27,51,1932,1111,2014,1
Hard,1st Round,Pavlyuchenkova A.,Majeric T.,21,121,2240,506,2014,1
Hard,1st Round,Zhang S.,Zanevska M.,49,120,1121,524,2014,1
Hard,1st Round,Cepelova J.,Mladenovic K.,82,71,759,840,2014,1
Hard,1st Round,Rybarikova M.,Schiavone F.,32,43,1495,1255,2014,1
Hard,1st Round,Cirstea S.,Kudryavtseva A.,26,125,1950,497,2014,1
Hard,1st Round,Voegele S.,Cornet A.,47,25,1195,1985,2014,1
Hard,1st Round,Niculescu M.,Al Nabhani F.,54,458,1080,78,2014,1
Hard,1st Round,Knapp K.,Garcia C.,40,76,1294,800,2014,1
Hard,1st Round,Safarova L.,Flipkens K.,28,20,1785,2295,2014,1
Hard,1st Round,Zakopalova K.,Svitolina E.,34,39,1420,1300,2014,1
Hard,1st Round,Kleybanova A.,Cibulkova D.,180,13,338,3056,2014,1
Hard,1st Round,Wickmayer Y.,Petkovic A.,72,36,837,1360,2014,1
Hard,1st Round,Ivanovic A.,Hantuchova D.,12,30,3160,1625,2014,1
Hard,1st Round,Mattek-Sands B.,Bouchard E.,42,19,1256,2369,2014,1
Hard,1st Round,Stosur S.,Erakovic M.,16,50,2705,1117,2014,1
Hard,2nd Round,Errani S.,Hsieh S.W.,7,99,4425,648,2014,1
Hard,2nd Round,Kleybanova A.,Voegele S.,180,47,338,1195,2014,1
Hard,2nd Round,Li N.,Rybarikova M.,3,32,6570,1495,2014,1
Hard,2nd Round,Lucic M.,Pavlyuchenkova A.,110,21,577,2240,2014,1
Hard,2nd Round,Kerber A.,Pliskova Ka.,9,53,4030,1082,2014,1
Hard,2nd Round,Zakopalova K.,Ivanovic A.,34,12,1420,3160,2014,1
Hard,2nd Round,Safarova L.,Peng S.,28,44,1785,1218,2014,1
Hard,2nd Round,Kvitova P.,Williams V.,6,48,4745,1177,2014,1
Hard,2nd Round,Jankovic J.,Knapp K.,8,40,4310,1294,2014,1
Hard,2nd Round,Cepelova J.,Stosur S.,82,16,759,2705,2014,1
Hard,2nd Round,Halep S.,Kanepi K.,10,27,3760,1932,2014,1
Hard,2nd Round,Cetkovska P.,Zhang S.,134,49,469,1121,2014,1
Hard,2nd Round,Wickmayer Y.,Wozniacki C.,72,11,837,3370,2014,1
Hard,3rd Round,Jankovic J.,Kleybanova A.,8,180,4310,338,2014,1
Hard,3rd Round,Cetkovska P.,Li N.,134,3,469,6570,2014,1
Hard,3rd Round,Errani S.,Niculescu M.,7,54,4425,1080,2014,1
Hard,3rd Round,Kvitova P.,Safarova L.,6,28,4745,1785,2014,1
Hard,3rd Round,Kerber A.,Zakopalova K.,9,34,4030,1420,2014,1
Hard,3rd Round,Wickmayer Y.,Cepelova J.,72,82,837,759,2014,1
Hard,3rd Round,Radwanska A.,Lucic M.,4,110,5750,577,2014,1
Hard,Quarterfinals,Kerber A.,Cetkovska P.,9,134,4030,469,2014,1
Hard,Quarterfinals,Jankovic J.,Kvitova P.,8,6,4310,4745,2014,1
Hard,Quarterfinals,Halep S.,Errani S.,10,7,3760,4425,2014,1
